x,y,node_id,kind,group
57,5,356536,leaf,1
58,5,358233,leaf,1
59,5,398626,leaf,1
60,5,397581,leaf,1
61,5,485339,leaf,1
62,5,468012,leaf,1
63,5,438909,leaf,1
64,5,756038,leaf,2
65,5,744935,leaf,2
66,5,723280,leaf,2
67,5,721841,leaf,2
68,5,728247,leaf,2
69,5,727788,leaf,2
70,5,903654,leaf,2
71,5,903655,leaf,2
72,5,725799,leaf,2
73,5,814601,leaf,2
74,5,875178,leaf,2
75,5,856302,leaf,2
76,5,859942,leaf,2
77,5,854432,leaf,2
78,5,876735,leaf,2
79,5,865839,leaf,2
80,5,851954,leaf,2
81,5,840675,leaf,2
82,5,1122541,leaf,2
83,5,1040562,leaf,2
84,5,1021116,leaf,2
85,5,1021117,leaf,2
86,5,1020848,leaf,2
87,5,1102593,leaf,2
88,5,967598,leaf,2
89,5,1091743,leaf,2
90,5,1092049,leaf,2
91,5,932609,leaf,2
92,5,935768,leaf,2
93,5,1091035,leaf,2
94,5,1081168,branch,2
95,5,1090229,leaf,2
96,5,1226519,leaf,3
97,5,1226549,leaf,3
98,5,1250815,leaf,3
99,5,1292108,leaf,3
100,5,1289824,leaf,3
101,5,1279559,leaf,3
102,5,1289825,leaf,3
103,5,1300565,leaf,3
104,5,1295580,leaf,3
105,5,1371934,leaf,3
106,5,1333719,leaf,3
107,5,1334642,leaf,3
108,5,246670,leaf,3
109,5,246671,leaf,3
110,5,1394184,leaf,3
111,5,1394288,leaf,3
112,5,1181924,leaf,3
113,5,1191555,leaf,3
114,5,1181274,leaf,3
115,5,1175496,leaf,3
116,5,1403634,leaf,3
117,5,1460546,leaf,3
118,5,1404119,leaf,3
119,5,1498005,leaf,3
120,5,1494907,leaf,3
121,5,1555168,leaf,3
122,5,1563302,leaf,3
123,5,1556334,leaf,3
124,5,1558756,leaf,3
125,5,1434060,leaf,3
126,5,1427558,leaf,3
127,5,1426409,leaf,3
0,6,112903,leaf,0
1,6,88256,leaf,0
2,6,86412,leaf,0
3,6,133120,leaf,0
4,6,115243,leaf,0
5,6,116159,leaf,0
6,6,104353,leaf,0
7,6,273226,leaf,0
8,6,224033,leaf,0
9,6,71272,leaf,0
10,6,71273,leaf,0
11,6,93010,leaf,0
12,6,98194,leaf,0
13,6,249047,leaf,0
14,6,80702,leaf,0
15,6,79879,leaf,0
16,6,78963,leaf,0
17,6,79878,leaf,0
18,6,400306,leaf,0
19,6,51588,leaf,0
20,6,51589,leaf,0
21,6,303916,leaf,0
22,6,344698,leaf,0
23,6,367997,leaf,0
24,6,498811,leaf,0
25,6,484259,leaf,0
26,6,487843,leaf,0
27,6,485986,leaf,0
28,6,435893,leaf,0
29,6,445441,leaf,0
30,6,145921,leaf,0
31,6,147353,leaf,0
32,6,242460,leaf,1
